KPI,Unit,Min,Max
flng_221b,flng_221,%,0,100
flng_222a,flng_222,%,0,100
flng_222b,flng_222,%,0,100
flng_223a,flng_223,%,0,100
flng_223b,flng_223,%,0,100
flng_224a,flng_224,%,0,100
flng_224b,flng_224,%,0,100
flng_225a,flng_225,%,0,100
flng_225b,flng_225,%,0,100
flng_226a,flng_226,%,0,100
flng_226b,flng_226,%,0,100
flng_226c,flng_226,%,0,100
flng_226d,flng_226,%,0,100
flng_227a,flng_227,%,0,100
flng_227b,flng_227,%,0,100
flng_227c,flng_227,%,0,100
flng_227d,flng_227,%,0,100
flng_228a,flng_228,%,0,100
flng_228b,flng_228,%,0,100
flng_228c,flng_228,%,0,100
flng_228d,flng_228,%,0,100
flng_229a,flng_229,%,0,100
flng_229b,flng_229,%,0,100
flng_229c,flng_229,%,0,100
flng_229d,flng_229,%,0,100
flng_230a,flng_230,%,0,100
flng_230b,flng_230,%,0,100
flng_231a,flng_231,%,0,100
flng_231b,flng_231,%,0,100
flng_232a,flng_232,%,0,100
flng_232b,flng_232,%,0,100
flng_233a,flng_233,%,0,100
flng_233b,flng_233,%,0,100
flng_234a,flng_234,#,0,
flng_235a,flng_235,#,0,
flng_236a,flng_236,#,0,
flng_237a,flng_237,#,0,
flng_242a,flng_242,#,0,
flng_242b,flng_242,#,0,
flng_243a,flng_243,#,0,
flng_243b,flng_243,#,0,
flng_244a,flng_244,%,0,100
flng_244b,flng_244,%,0,100
flng_245a,flng_245,#,0,
flng_245b,flng_245,#,0,
flng_250a,flng_250,#,0,
flng_250b,flng_250,#,0,
flng_250c,flng_250,#,0,
flng_251a,flng_251,%,0,100
flng_251b,flng_251,%,0,100
flng_251c,flng_251,%,0,100
flng_252a,flng_252,#,0,
flng_252b,flng_252,#,0,
flng_253a,flng_253,%,0,100
flng_253b,flng_253,%,0,100
flng_256a,flng_256,#,0,
flng_256b,flng_256,#,0,
flng_257a,flng_257,%,0,100
flng_257b,flng_257,%,0,100
flng_258a,flng_258,MB,0,
