KPI,Unit
flng_377a,%
flng_378a,#
flng_379a,%
flng_380a,#
flng_381a,%
flng_382a,#
flng_383a,%
flng_384a,#
flng_385a,%
flng_386a,#
flng_387a,%
flng_388a,%
flng_388b,%
flng_389a,%
flng_389b,%
flng_390a,%
flng_391a,%
flng_392a,%
flng_392b,%
flng_392c,%
flng_393a,%
flng_393b,%
flng_393c,%
flng_394a,%
flng_394b,%
flng_395a,%
flng_395b,%
flng_396a,%
flng_396b,%
flng_397a,%
flng_397b,%
flng_398a,%
flng_398b,%
flng_398c,%
flng_399a,%
flng_399b,%
flng_399c,%
flng_400a,#
flng_401a,%
flng_402a,%
flng_403a,#
flng_404a,%
flng_405a,#
flng_406a,%
flng_407a,#
flng_408a,%
flng_409a,#
flng_410a,%
flng_411a,MB
flng_412a,MB
flng_413a,MB
flng_414a,#
flng_415a,#
flng_416a,#
flng_417a,MB
flng_418a,MB
flng_419a,MB
flng_420a,Mbps
flng_421a,Mbps
flng_422a,#
flng_423a,Mbps
flng_424a,#
flng_425a,#
flng_426a,#
flng_427a,s
flng_427b,s
flng_428a,kB
flng_429a,#
flng_430a,%
flng_431a,%
flng_432a,#
flng_433a,#
flng_434a,#
flng_435a,#
flng_436a,#
flng_437a,#
flng_438a,%
flng_439a,%
flng_440a,%
flng_441a,%
flng_442a,#
flng_443a,#
flng_444a,MB
flng_445a,MB
flng_446a,MB
flng_447a,MB
flng_448a,MB
flng_449a,MB
flng_450a,%
flng_451a,%
flng_452a,#
flng_453a,%
flng_454a,#
flng_455a,%
flng_456a,#
flng_457a,%
flng_458a,#
flng_459a,%
flng_460a,#
flng_461a,%
flng_462a,#
flng_463a,%
flng_464a,#
flng_465a,%
flng_466a,#
flng_467a,%
flng_468a,#
flng_469a,%
flng_470a,#
flng_471a,%
flng_472a,#
flng_473a,%
flng_474a,#
flng_475a,%
flng_476a,#
flng_477a,%
flng_478a,#
flng_479a,%
flng_480a,#
flng_481a,%
flng_482a,#
flng_483a,#
flng_484a,%
flng_485a,#
flng_486a,#
flng_487a,%
flng_488a,#
flng_489a,#
flng_490a,#
flng_491a,#
flng_492a,%
flng_493a,#
flng_494a,%
flng_495a,#
flng_496a,%
flng_497a,#
flng_498a,%
flng_499a,#
flng_500a,%
flng_501a,kB
flng_502a,kB
flng_503a,kB
flng_504a,#
flng_505a,#
flng_506a,MB
flng_507a,MB
flng_508a,MB
flng_509a,#
flng_510a,#
flng_511a,#
flng_512a,MB
flng_513a,Mbps
flng_514a,Mbps
flng_515a,Mbps
flng_516a,MB
flng_516b,MB
flng_516c,MB
flng_517a,Mbps
flng_517b,Mbps
flng_517c,Mbps
flng_518a,Mbps
flng_518b,Mbps
flng_518c,Mbps
flng_519a,Mbps
flng_519b,Mbps
flng_519c,Mbps
flng_520a,MB
flng_521a,Mbps
flng_522a,Mbps
flng_523a,Mbps
flng_524a,#
flng_525a,kbps
flng_526a,MB
flng_527a,#
flng_528a,#
flng_529a,#
flng_530a,%
flng_531a,#
flng_532a,%
flng_533a,#
flng_534a,%
flng_535a,#
flng_536a,%
flng_537a,#
flng_538a,%
flng_539a,#
flng_540a,%
flng_541a,#
flng_542a,#
flng_543a,#
flng_544a,MB
flng_545a,MB
flng_546a,MB
flng_547a,#
flng_548a,#
flng_549a,#
flng_550a,MB
flng_551a,MB
flng_552a,MB
flng_553a,#
flng_554a,%
flng_555a,#
flng_556a,%
flng_557a,#
flng_558a,%
flng_559a,#
flng_560a,%
flng_561a,#
flng_562a,%
flng_563a,#
flng_564a,%
flng_565a,#
flng_566a,%
flng_567a,#
flng_568a,%
flng_569a,#
flng_569b,#
flng_570a,#
flng_570b,#
flng_571a,#
flng_571b,#
flng_572a,MB
flng_572b,MB
flng_573a,MB
flng_573b,MB
flng_574a,MB
flng_574b,MB
flng_575a,Mbps
flng_575b,Mbps
flng_576a,Mbps
flng_576b,Mbps
flng_577a,Mbps
flng_577b,Mbps
flng_581a,MB
flng_582a,MB
flng_583a,MB
flng_584a,MB
flng_585a,MB
flng_586a,MB
flng_587a,MB
flng_588a,Mbps
flng_589a,Mbps
flng_590a,Mbps
flng_591a,#
flng_592a,#
flng_593a,#
flng_594a,#
flng_595a,%
flng_595b,%
flng_596a,#
flng_597a,%
flng_597b,%
flng_598a,#
flng_599a,%
flng_600a,#
flng_601a,%
flng_602a,#
flng_603a,%
flng_604a,#
flng_605a,%
flng_606a,#
flng_607a,%
flng_608a,#
flng_609a,#
flng_610a,%
flng_611a,MB
flng_612a,MB
flng_613a,MB
flng_614a,#
flng_615a,#
flng_616a,#
flng_617a,%
flng_618a,#
flng_619a,#
flng_620a,#
flng_621a,%
flng_622a,%
flng_623a,#
flng_624a,#
flng_625a,#
flng_626a,%
flng_627a,%
flng_628a,%
flng_629a,%
flng_630a,#
flng_631a,#
flng_632a,%
flng_633a,#
flng_634a,#/s
flng_635a,#/s
flng_636a,#/s
flng_636b,#/s
flng_637a,#/s
flng_637b,#/s
flng_637c,#/s
flng_638a,#/s
flng_638b,#/s
flng_638c,#/s
flng_639a,#/s
flng_639b,#/s
flng_639c,#/s
flng_640a,#/s
flng_640b,#/s
flng_640c,#/s
flng_640d,#/s
flng_641a,#/s
flng_641b,#/s
flng_641c,#/s
flng_641d,#/s
flng_641e,#/s
flng_641f,#/s
flng_641g,#/s
