KPI,Unit,Min,Max
flng_336b,#,0,
flng_337a,%,0,100
flng_338a,%,0,100
flng_339a,%,0,100
flng_340a,%,0,100
flng_341a,%,0,100
flng_342a,%,0,100
flng_343a,%,0,100
flng_344a,#,0,
flng_345a,%,0,100
flng_346a,#,0,
flng_347a,#,0,
flng_348a,%,0,100
flng_349a,#,0,
flng_350a,%,0,100
flng_351a,#,0,
flng_352a,%,0,100
flng_353a,#,0,
flng_354a,%,0,100
flng_355a,#,0,
flng_356a,%,0,100
flng_357a,#,0,
flng_358a,%,0,100
flng_359a,#,0,
flng_360a,%,0,100
flng_361a,Mb/s,0,
flng_362a,Mb/s,0,
flng_363a,Mb/s,0,
flng_364a,Mb/s,0,
flng_365a,Mb/s,0,
flng_366a,Mb/s,0,
flng_367a,Mb/s,0,
flng_368a,Mb/s,0,
flng_369a,Mb/s,0,
flng_370a,Mb/s,0,
flng_371a,Mb/s,0,
flng_372a,#,0,
flng_373a,%,0,100
flng_374a,#,0,
flng_375a,%,0,100
flng_376a,#,0,
flng_377a,%,0,100
flng_378a,#,0,
flng_379a,%,0,100
flng_380a,#,0,
flng_381a,%,0,100
flng_382a,#,0,
flng_383a,%,0,100
flng_384a,#,0,
flng_385a,%,0,100
flng_386a,#,0,
flng_387a,%,0,100
flng_388a,%,0,100
flng_388b,%,0,100
flng_389a,%,0,100
flng_389b,%,0,100
flng_390a,%,0,100
flng_391a,%,0,100
flng_392a,%,0,100
flng_392b,%,0,100
flng_392c,%,0,100
flng_393a,%,0,100
flng_393b,%,0,100
flng_393c,%,0,100
flng_394a,%,0,100
flng_394b,%,0,100
flng_395a,%,0,100
flng_395b,%,0,100
flng_396a,%,0,100
flng_396b,%,0,100
flng_397a,%,0,100
flng_397b,%,0,100
flng_398a,%,0,100
flng_398b,%,0,100
flng_398c,%,0,100
flng_399a,%,0,100
flng_399b,%,0,100
flng_399c,%,0,100
flng_400a,#,0,
flng_401a,%,0,100
flng_402a,%,0,100
flng_403a,#,0,
flng_404a,%,0,100
flng_405a,#,0,
flng_406a,%,0,100
flng_407a,#,0,
flng_408a,%,0,100
flng_409a,#,0,
flng_410a,%,0,100
flng_411a,MB,0,
flng_412a,MB,0,
flng_413a,MB,0,
flng_414a,#,0,
flng_415a,#,0,
flng_416a,#,0,
flng_417a,MB,0,
flng_418a,MB,0,
flng_419a,MB,0,
flng_420a,Mb/s,0,
flng_421a,Mb/s,0,
flng_422a,#,0,
flng_423a,Mb/s,0,
flng_424a,#,0,
flng_425a,#,0,
flng_426a,#,0,
flng_427a,s,0,
flng_427b,s,0,
flng_428a,kB,0,
flng_429a,#,0,
flng_430a,%,0,100
flng_431a,%,0,100
flng_432a,#,0,
flng_433a,#,0,
flng_434a,#,0,
flng_435a,#,0,
flng_436a,#,0,
flng_437a,#,0,
flng_438a,%,0,100
flng_439a,%,0,100
flng_440a,%,0,100
flng_441a,%,0,100
flng_442a,#,0,
flng_443a,#,0,
flng_444a,MB,0,
flng_445a,MB,0,
flng_446a,MB,0,
flng_447a,MB,0,
flng_448a,MB,0,
flng_449a,MB,0,
flng_450a,%,0,100
flng_451a,%,0,100
flng_452a,#,0,
flng_453a,%,0,100
flng_454a,#,0,
flng_455a,%,0,100
flng_456a,#,0,
flng_457a,%,0,100
flng_458a,#,0,
flng_459a,%,0,100
flng_460a,#,0,
flng_461a,%,0,100
flng_462a,#,0,
flng_463a,%,0,100
flng_464a,#,0,
flng_465a,%,0,100
flng_466a,#,0,
flng_467a,%,0,100
flng_468a,#,0,
flng_469a,%,0,100
flng_470a,#,0,
flng_471a,%,0,100
flng_472a,#,0,
flng_473a,%,0,100
flng_474a,#,0,
flng_475a,%,0,100
flng_476a,#,0,
flng_477a,%,0,100
flng_478a,#,0,
flng_479a,%,0,100
flng_480a,#,0,
flng_481a,%,0,100
flng_482a,#,0,
flng_483a,#,0,
flng_484a,%,0,100
flng_485a,#,0,
flng_486a,#,0,
flng_487a,%,0,100
flng_488a,#,0,
flng_489a,#,0,
flng_490a,#,0,
flng_491a,#,0,
flng_492a,%,0,100
flng_493a,#,0,
flng_494a,%,0,100
flng_495a,#,0,
flng_496a,%,0,100
flng_497a,#,0,
flng_498a,%,0,100
flng_499a,#,0,
flng_500a,%,0,100
flng_501a,kB,0,
flng_502a,kB,0,
flng_503a,kB,0,
flng_504a,#,0,
flng_505a,#,0,
flng_506a,MB,0,
flng_507a,MB,0,
flng_508a,MB,0,
flng_509a,#,0,
flng_510a,#,0,
flng_511a,#,0,
flng_512a,MB,0,
flng_513a,Mb/s,0,
flng_514a,Mb/s,0,
flng_515a,Mb/s,0,
flng_516a,MB,0,
flng_516b,MB,0,
flng_516c,MB,0,
flng_517a,Mb/s,0,
flng_517b,Mb/s,0,
flng_517c,Mb/s,0,
flng_518a,Mb/s,0,
flng_518b,Mb/s,0,
flng_518c,Mb/s,0,
flng_519a,Mb/s,0,
flng_519b,Mb/s,0,
flng_519c,Mb/s,0,
flng_520a,MB,0,
flng_521a,Mb/s,0,
flng_522a,Mb/s,0,
flng_523a,Mb/s,0,
flng_524a,#,0,
flng_525a,kb/s,0,
flng_526a,MB,0,
flng_527a,#,0,
flng_528a,#,0,
flng_529a,#,0,
flng_530a,%,0,100
flng_531a,#,0,
flng_532a,%,0,100
flng_533a,#,0,
flng_534a,%,0,100
flng_535a,#,0,
flng_536a,%,0,100
flng_537a,#,0,
flng_538a,%,0,100
flng_539a,#,0,
flng_540a,%,0,100
flng_541a,#,0,
flng_542a,#,0,
flng_543a,#,0,
flng_544a,MB,0,
flng_545a,MB,0,
flng_546a,MB,0,
flng_547a,#,0,
flng_548a,#,0,
flng_549a,#,0,
flng_550a,MB,0,
flng_551a,MB,0,
flng_552a,MB,0,
flng_553a,#,0,
flng_554a,%,0,100
flng_555a,#,0,
flng_556a,%,0,100
flng_557a,#,0,
flng_558a,%,0,100
flng_559a,#,0,
flng_560a,%,0,100
flng_561a,#,0,
flng_562a,%,0,100
flng_563a,#,0,
flng_564a,%,0,100
flng_565a,#,0,
flng_566a,%,0,100
flng_567a,#,0,
flng_568a,%,0,100
flng_569a,#,0,
flng_569b,#,0,
flng_570a,#,0,
flng_570b,#,0,
flng_571a,#,0,
flng_571b,#,0,
flng_572a,MB,0,
flng_572b,MB,0,
flng_573a,MB,0,
flng_573b,MB,0,
flng_574a,MB,0,
flng_574b,MB,0,
flng_575a,Mb/s,0,
flng_575b,Mb/s,0,
flng_576a,Mb/s,0,
flng_576b,Mb/s,0,
flng_577a,Mb/s,0,
flng_577b,Mb/s,0,
flng_581a,MB,0,
flng_582a,MB,0,
flng_583a,MB,0,
flng_584a,MB,0,
flng_585a,MB,0,
flng_586a,MB,0,
flng_587a,MB,0,
flng_588a,Mb/s,0,
flng_589a,Mb/s,0,
flng_590a,Mb/s,0,
flng_591a,#,0,
flng_592a,#,0,
flng_593a,#,0,
flng_594a,#,0,
flng_595a,%,0,100
flng_595b,%,0,100
flng_596a,#,0,
flng_597a,%,0,100
flng_597b,%,0,100
flng_598a,#,0,
flng_599a,%,0,100
flng_600a,#,0,
flng_601a,%,0,100
flng_602a,#,0,
flng_603a,%,0,100
flng_604a,#,0,
flng_605a,%,0,100
flng_606a,#,0,
flng_607a,%,0,100
flng_608a,#,0,
flng_609a,#,0,
flng_610a,%,0,100
flng_611a,MB,0,
flng_612a,MB,0,
flng_613a,MB,0,
flng_614a,#,0,
flng_615a,#,0,
flng_616a,#,0,
flng_617a,%,0,100
flng_618a,#,0,
flng_619a,#,0,
flng_620a,#,0,
flng_621a,%,0,100
flng_622a,%,0,100
flng_623a,#,0,
flng_624a,#,0,
flng_625a,#,0,
flng_626a,%,0,100
flng_627a,%,0,100
flng_628a,%,0,100
flng_629a,%,0,100
flng_630a,#,0,
flng_631a,#,0,
flng_632a,%,0,100
flng_633a,#,0,
flng_634a,#/s,0,
flng_635a,#/s,0,
flng_636a,#/s,0,
flng_636b,#/s,0,
flng_637a,#/s,0,
flng_637b,#/s,0,
flng_637c,#/s,0,
flng_638a,#/s,0,
flng_638b,#/s,0,
flng_638c,#/s,0,
flng_639a,#/s,0,
flng_639b,#/s,0,
flng_639c,#/s,0,
flng_640a,#/s,0,
flng_640b,#/s,0,
flng_640c,#/s,0,
flng_640d,#/s,0,
flng_641a,#/s,0,
flng_641b,#/s,0,
flng_641c,#/s,0,
flng_641d,#/s,0,
flng_641e,#/s,0,
flng_641f,#/s,0,
flng_641g,#/s,0,
flng_641h,#/s,0,
flng_641i,#/s,0,
flng_641j,#/s,0,
flng_641k,#/s,0,
flng_641l,#/s,0,
flng_642a,%,0,100
flng_643a,%,0,100
flng_644a,B,0,
flng_645a,B,0,
flng_646a,B,0,
flng_647a,%,0,100
flng_647b,%,0,100
flng_647c,%,0,100
flng_648a,%,0,100
flng_648b,%,0,100
flng_648c,%,0,100
flng_649a,#,0,
flng_650a,#,0,
flng_651a,#,0,
flng_652a,#,0,
flng_653a,#,0,
flng_654a,#,0,
flng_655a,#,0,
flng_656a,#,0,
flng_657a,#,0,
flng_658a,#,0,
flng_659a,MB,0,
flng_660a,MB,0,
flng_661a,MB,0,
flng_662a,Mb/s,0,
flng_663a,Mb/s,0,
flng_664a,Mb/s,0,
flng_665a,#,0,
flng_666a,%,0,100
flng_666b,%,0,100
flng_667a,#,0,
flng_668a,%,0,100
flng_668b,%,0,100
flng_669a,#,0,
flng_670a,%,0,100
flng_670b,%,0,100
flng_671a,#,0,
flng_672a,%,0,100
flng_673a,#,0,
flng_674a,%,0,100
flng_675a,#,0,
flng_676a,%,0,100
flng_676b,%,0,100
flng_677a,#,0,
flng_678a,#,0,
flng_679a,%,0,100
flng_680a,#,0,
flng_681a,%,0,100
flng_682a,#,0,
flng_683a,%,0,100
flng_684a,kB,0,
flng_685a,%,0,100
flng_686a,%,0,100
flng_687a,%,0,100
flng_688a,%,0,100
flng_689a,%,0,100
flng_690a,%,0,100
flng_691a,%,0,100
flng_692a,%,0,100
flng_693a,%,0,100
flng_694a,%,0,100
flng_695a,%,0,100
flng_696a,%,0,100
flng_697a,%,0,100
flng_698a,%,0,100
flng_699a,%,0,100
flng_700a,%,0,100
flng_701a,%,0,100
flng_702a,%,0,100
flng_703a,%,0,100
flng_704a,%,0,100
flng_705a,%,0,100
flng_706a,%,0,100
flng_707a,%,0,100
flng_708a,%,0,100
flng_709a,%,0,100
flng_710a,%,0,100
flng_711a,%,0,100
flng_712a,%,0,100
flng_713a,%,0,100
flng_714a,%,0,100
flng_715a,%,0,100
flng_716a,%,0,100
flng_717a,%,0,100
flng_718a,%,0,100
flng_719a,%,0,100
flng_720a,%,0,100
flng_721a,%,0,100
flng_722a,%,0,100
flng_723a,%,0,100
flng_724a,%,0,100
flng_725a,%,0,100
flng_726a,%,0,100
flng_727a,%,0,100
flng_728a,%,0,100
flng_729a,%,0,100
flng_730a,%,0,100
flng_731a,%,0,100
flng_732a,%,0,100
flng_733a,%,0,100
flng_734a,%,0,100
flng_735a,%,0,100
flng_736a,%,0,100
flng_737a,%,0,100
flng_738a,%,0,100
flng_739a,%,0,100
flng_740a,%,0,100
flng_741a,%,0,100
flng_742a,%,0,100
flng_743a,%,0,100
flng_744a,%,0,100
flng_745a,#,0,
flng_746a,#,0,
flng_747a,#,0,
flng_748a,#,0,
flng_749a,%,0,100
flng_750a,%,0,100
flng_751a,%,0,100
flng_752a,%,0,100
flng_753a,%,0,100
flng_754a,%,0,100
flng_755a,%,0,100
flng_756a,%,0,100
flng_757a,%,0,100
flng_758a,%,0,100
flng_759a,%,0,100
flng_760a,%,0,100
flng_760b,%,0,100
flng_761a,%,0,100
